gender,age,income,course,scheme
F,41,4151,3,1
M,24,2424,5,4
F,26,4151,5,2
F,22,2449,2,4
M,24,5614,2,1
M,50,4027,3,4
M,48,6553,1,1
F,46,5682,5,3
M,33,3792,4,4
M,48,6531,3,2
F,49,3059,2,3
F,27,4180,5,4
M,43,3620,5,3
M,43,4268,5,1
M,41,4274,1,2
M,36,6618,5,4
M,27,4287,5,2
F,44,4594,4,4
M,44,2906,5,4
F,19,5701,5,5
F,25,3145,5,5
F,39,3176,5,2
F,21,6408,3,3
M,24,6842,2,4
F,23,6724,2,1
M,18,3430,3,4
F,32,4764,1,4
F,44,5981,3,3
F,41,4020,3,2
M,35,4501,1,4
M,36,6989,3,4
M,24,6238,3,3
M,46,6499,2,5
M,42,3332,1,2
M,49,6353,5,4
M,48,6746,4,5
M,31,6841,2,5
M,23,6726,5,1
F,45,2276,3,1
M,49,2301,1,1
M,45,4583,4,1
F,44,3355,4,3
M,50,6483,4,4
M,21,5405,3,3
F,39,5669,2,5
M,25,5030,1,1
M,38,5995,2,3
M,48,2936,5,2
F,49,3280,1,3
M,50,2076,2,1
M,40,6284,5,5
F,44,4747,4,4
F,46,4756,3,5
M,30,4455,3,4
F,26,2313,4,4
M,27,5091,5,2
M,39,3806,2,3
M,31,2047,1,4
F,38,5549,4,5
M,50,4676,1,5
F,38,3522,3,5
M,42,3481,1,3
M,26,6300,2,2
M,21,6020,2,4
M,45,3290,5,4
F,27,3972,1,3
M,40,2474,5,4
F,31,6976,5,2
F,28,3693,2,5
F,46,2695,2,1
M,42,6340,3,3
F,47,2948,4,1
F,44,3463,3,1
F,41,6885,1,4
M,29,5737,3,3
F,21,6978,1,1
F,33,5763,2,3
M,26,3764,4,5
M,20,6681,5,5
M,43,2400,4,5
M,18,6965,2,3
M,22,6251,1,1
M,46,3290,1,4
M,41,6494,3,4
F,22,5742,2,3
M,39,5203,1,4
M,24,6719,3,4
M,20,6784,5,2
F,39,6745,5,4
F,39,3501,2,5
M,41,4329,5,5
M,42,2667,3,3
F,24,2972,3,5
F,48,5231,4,5
M,21,2148,4,4
M,25,2715,5,2
M,44,4156,5,4
F,37,2837,3,1
M,27,4994,4,5
F,29,6412,1,2
F,38,5178,2,2
F,24,2838,3,2
F,21,3009,1,3
F,32,3072,4,3
F,30,5763,3,1
F,43,2774,2,4
M,44,5279,4,5
F,28,5752,1,5
F,28,2854,4,5
M,20,3902,2,4
F,23,2916,5,2
F,32,4028,2,2
F,38,5885,5,1
M,29,2071,2,4
F,22,4854,4,5
M,25,6081,1,3
F,45,5317,4,2
M,44,2733,2,3
F,47,5295,4,5
F,19,4520,3,5
F,45,2335,4,4
M,49,4773,2,1
F,33,2266,4,2
M,43,5576,1,4
M,39,4441,3,5
M,40,2809,1,1
F,18,6305,1,1
M,42,3685,1,5
M,42,6952,1,1
F,23,3409,2,4
M,34,2940,2,3
M,25,6304,1,3
M,50,3480,5,2
F,31,5130,2,4
F,33,3920,2,4
M,30,5238,3,2
M,42,2837,1,1
F,18,6818,2,4
M,21,4663,4,4
M,31,2982,4,2
F,33,4608,4,4
F,19,3420,5,3
F,43,4465,3,3
M,22,5319,5,2
F,37,3031,1,4
M,48,5025,1,5
M,24,2917,2,1
F,47,2095,5,2
M,29,5398,2,1
F,21,5461,3,1
F,49,6874,5,3
M,35,3401,4,5
F,50,5890,4,4
F,20,3484,4,2
M,31,5355,1,3
M,28,5932,2,5
F,43,6713,5,3
M,36,5293,3,2
M,27,5573,3,5
F,50,4752,3,2
F,24,4180,2,5
M,25,5426,4,3
F,31,5159,5,5
M,30,4432,1,3
M,21,2574,5,4
M,48,4185,3,4
F,45,3793,3,1
M,29,2585,5,2
M,40,3948,4,3
F,23,4593,1,1
F,27,3392,2,1
F,40,4509,4,3
M,20,5552,3,1
F,33,3079,3,4
F,43,5501,4,3
M,38,5858,5,1
M,38,6156,1,5
F,25,5118,2,3
M,23,3763,3,1
F,19,6332,3,1
F,47,5555,5,3
F,26,3234,2,5
F,24,6444,5,4
F,24,6034,1,4
F,22,4193,5,1
F,31,3836,1,5
M,34,3587,4,3
F,28,2373,1,5
M,33,4103,2,3
M,50,2203,2,2
F,37,6690,5,4
M,42,4266,4,5
M,38,4043,1,2
M,26,5500,4,4
M,34,4190,3,2
F,30,6788,2,3
M,19,2383,5,3
M,21,3794,1,5
M,25,5440,1,3
M,49,4590,3,1
M,30,6314,5,5
M,44,6226,5,3
M,46,4296,2,1
M,46,6022,4,4
M,45,3604,1,3
M,50,3043,5,4
M,33,4494,4,3
M,28,3213,4,2
M,30,3145,2,1
F,29,4141,5,3
F,20,6730,4,3
M,34,4520,1,4
M,28,4528,3,1
M,46,5243,3,1
M,44,2200,2,1
F,25,6505,2,3
F,40,6355,5,1
M,21,4570,4,4
F,29,5282,4,5
F,18,4710,3,3
F,22,4893,5,5
F,30,2896,2,5
M,46,5647,5,4
M,19,4420,5,2
M,18,5773,3,1
M,50,3122,2,4
F,45,4618,2,4
M,48,4373,3,5
M,45,6380,4,2
M,27,6412,1,2
F,39,4939,4,4
F,24,3384,3,4
M,46,6658,3,4
F,26,5748,5,1
F,21,6609,5,4
F,26,5133,5,2
F,29,6356,1,5
F,26,3144,2,3
M,42,3565,4,3
F,24,2892,2,2
F,26,2942,3,1
F,29,6573,5,2
F,46,6069,4,4
F,21,3032,5,2
M,21,2718,1,1
M,18,3661,1,1
F,32,3688,2,4
F,28,3367,2,2
F,26,6502,3,2
M,30,2078,4,5
M,32,6017,3,4
M,44,4364,3,2
M,33,3094,4,5
M,18,5241,2,5
M,41,4223,1,5
F,37,6033,1,4
M,20,6284,4,5
F,45,2495,4,4
M,27,5774,4,3
F,22,6091,3,5
F,36,6906,4,5
M,39,2349,3,3
M,25,2216,3,4
F,47,2475,4,4
M,20,6095,2,3
M,29,2805,5,5
M,38,3531,2,1
M,27,2365,1,1
M,46,6185,2,3
F,43,6321,4,5
M,40,3109,2,2
M,20,3708,4,5
F,47,5929,4,5
M,44,2910,5,4
M,36,2425,4,2
F,19,3399,5,3
F,34,6310,1,1
F,36,6883,1,4
M,34,4283,4,1
M,19,5990,1,3
F,49,4930,3,3
M,35,4736,1,4
F,21,6247,4,3
M,20,4654,3,4
M,23,6549,5,5
M,46,3383,5,5
F,31,6917,3,3
M,25,2778,2,5
M,47,5258,1,3
M,39,4107,1,3
F,19,6588,3,4
F,21,4591,3,4
M,33,5872,1,1
F,41,2282,3,2
M,18,4313,4,3
F,32,3319,1,2
F,37,2234,3,2
F,19,5040,2,5
M,23,2777,4,5
M,20,5040,5,4
M,25,5058,4,1
F,26,4200,2,2
F,30,5377,5,1
M,36,6023,2,1
F,45,4634,4,3
F,31,5069,5,1
F,29,4494,1,5
M,36,3270,1,3
F,36,5710,2,5
M,42,5874,3,1
M,41,4047,1,4
M,44,5147,2,1
M,19,6092,1,1
F,25,4376,4,5
F,47,6507,3,5
M,31,3845,3,5
M,32,4133,5,1
F,32,4534,1,2
F,42,5449,1,2
F,48,4856,2,5
M,38,3362,3,5
M,27,5103,5,2
M,50,5875,3,4
F,34,6338,2,5
F,43,3826,1,3
M,43,5469,1,3
F,21,5546,1,4
F,23,2770,4,5
F,26,4754,1,5
M,50,2619,5,3
M,29,4386,2,5
M,44,6636,4,5
F,31,5410,4,3
M,21,4820,2,3
F,40,2253,5,2
M,46,4328,4,3
F,33,3493,2,4
F,27,3755,3,1
M,26,2807,2,5
M,37,2406,5,3
F,31,3525,3,3
M,23,5565,1,2
M,44,6571,4,5
F,18,5420,3,5
M,31,6348,2,4
M,43,6892,5,2
F,48,4831,4,2
F,49,6008,2,2
M,46,5080,2,5
M,22,4898,2,1
M,18,5761,1,1
M,43,6540,5,2
M,27,4912,1,3
F,18,2027,1,3
F,34,5335,1,2
F,29,6967,2,3
F,19,2494,5,5
M,19,4264,4,1
M,24,3671,5,5
F,20,2911,3,2
M,24,3435,3,3
F,28,5824,5,1
M,42,6446,1,5
M,26,4178,4,4
F,45,3517,2,5
M,45,2355,2,3
M,22,2537,3,1
M,32,3083,3,4
M,38,5117,1,1
F,49,2115,5,4
F,46,5187,1,3
F,41,3728,5,4
F,23,6101,3,1
M,23,6933,4,1
F,44,4123,3,1
F,24,2930,5,2
F,28,5494,4,2
F,26,5284,5,2
M,21,4544,5,1
M,26,5689,1,1
M,47,2125,1,2
F,21,5232,1,2
M,48,4897,2,2
F,37,6301,5,1
F,30,4063,5,5
M,28,2229,1,2
F,35,4882,3,4
M,39,3016,4,1
F,20,4198,5,4
F,31,5456,4,4
M,31,4899,5,3
F,36,6594,1,2
F,44,5077,1,3
F,39,2937,5,2
M,21,3464,3,3
M,22,5709,5,2
F,30,4149,3,1
M,23,4603,2,2
F,32,5001,4,3
M,22,2447,2,4
M,29,5281,5,3
F,30,4274,2,4
F,47,2749,3,2
F,19,6174,5,5
M,28,2750,3,2
M,37,2566,3,3
F,48,4540,4,3
M,37,6399,2,4
F,48,4615,5,1
M,39,6095,3,4
F,20,6596,4,1
F,30,3023,5,1
F,21,2265,2,1
F,30,4976,4,3
M,21,3862,2,3
F,18,6871,3,3
F,38,3765,1,5
M,43,6568,2,5
F,50,3352,4,5
F,24,5312,1,1
M,46,4753,4,1
F,42,6385,5,3
M,35,4925,2,3
F,32,6909,2,1
F,40,2827,5,5
M,39,2892,4,4
M,39,2610,5,4
M,42,5539,3,3
M,36,6881,1,3
M,49,4073,1,5
F,29,6268,5,1
M,47,3119,1,3
M,35,4941,2,4
F,42,2185,2,5
M,18,6638,4,2
F,36,3169,5,4
M,33,4493,2,3
F,35,2001,3,2
F,21,3059,4,4
F,29,6420,1,5
F,19,5672,1,3
M,48,6920,1,1
F,38,6987,2,3
M,24,6480,2,3
F,35,3563,1,5
M,30,6089,4,1
M,36,3734,3,3
M,20,4138,5,5
F,49,5110,3,3
M,19,2917,1,5
M,41,6244,3,1
M,20,6188,5,4
F,21,2622,3,3
F,30,5732,1,4
M,33,5063,4,1
F,41,3168,4,5
F,21,5211,4,3
M,38,5946,2,4
M,19,2106,4,1
M,27,5460,4,4
F,29,2968,3,2
M,22,4901,3,4
F,21,4172,4,3
M,25,6480,5,2
F,46,5875,5,5
M,23,2843,1,3
F,34,6099,5,5
F,30,3530,4,3
F,35,6886,2,2
M,21,4550,5,5
F,46,5075,2,3
M,48,6300,3,4
M,23,4153,3,1
M,22,3891,4,5
M,22,2724,5,5
F,34,2925,1,1
F,28,4423,5,4
M,42,4814,2,3
F,45,3989,4,4
F,46,4186,1,2
F,23,4591,3,2
M,40,2019,5,2
F,40,6278,4,3
F,33,2035,1,2
F,21,3469,4,4
M,28,4737,1,3
M,28,6860,1,1
M,26,3810,1,5
M,49,2833,3,1
F,49,4785,4,2
F,34,4553,5,5
F,19,2672,3,1
F,47,6002,5,1
M,34,2515,4,3
F,46,5966,3,2
M,38,5996,1,4
F,49,6041,2,4
M,49,2112,2,2
F,41,3373,5,3
F,27,4090,4,1
F,22,6035,4,2
M,47,3120,2,4
M,34,4632,5,3
F,21,5977,1,5
M,26,2539,5,3
M,49,6523,1,1
M,49,5418,3,5
F,43,3363,5,1
M,18,4144,5,3
F,44,2800,2,2
M,35,2235,4,1
F,47,5705,5,5
M,19,5578,5,3
M,27,3480,4,4
F,18,3158,1,4
M,42,2071,4,3
F,23,6086,3,4
F,26,2720,4,4
M,25,5673,4,4
F,20,4981,5,1
F,22,3520,3,2
F,49,3177,1,5
M,29,6482,5,4
M,21,5714,4,1
F,33,6357,1,4
M,38,3844,2,3
M,21,2788,2,4
M,39,6157,1,3
M,44,5195,3,3
M,38,6562,4,2
M,43,4863,5,1
F,19,6021,5,5
M,49,3912,4,2
M,34,4916,3,4
F,33,3281,3,4
M,33,5491,1,5
F,21,5417,2,4
M,48,6818,4,3
F,23,4118,1,2
F,25,6344,4,4
M,50,6260,2,4
F,35,4667,4,2
M,19,4591,2,1
F,43,5145,3,1
M,41,2463,3,2
M,42,6491,5,1
M,36,2587,4,1
M,25,4693,2,3
M,33,3574,4,3
F,18,2745,3,1
M,31,6149,2,2
F,33,5810,1,5
M,50,6335,3,4
M,43,5422,4,5
F,43,5974,2,4
F,30,2929,3,5
F,38,2420,1,1
M,21,4181,5,3
M,20,3810,3,4
F,26,5610,3,3
F,49,3861,3,3
F,21,2352,1,4
M,47,5008,5,2
M,25,4891,5,3
M,36,2080,3,2
M,32,4653,1,4
M,46,5629,5,1
F,40,5771,2,2
M,19,3097,4,5
F,38,5023,3,2
M,44,3940,5,1
F,46,2221,3,5
M,39,6844,5,5
F,45,4221,3,1
M,43,2934,1,3
M,21,5747,1,3
M,44,2384,2,3
F,22,5399,4,1
F,42,3948,3,4
M,26,5188,2,5
F,22,2707,3,3
M,38,6184,5,4
F,30,5582,2,1
F,37,3475,4,5
M,44,4087,5,1
F,18,2129,4,5
M,48,5341,5,5
M,49,6601,5,3
F,30,6710,3,2
M,43,3897,3,1
M,29,6926,1,3
F,32,3139,5,4
M,34,2014,5,2
F,39,3396,2,3
M,44,5587,5,3
F,20,5713,2,3
M,34,3446,1,3
F,43,4898,5,5
F,20,2013,2,2
M,29,3073,5,1
M,39,6513,3,5
M,22,3380,4,5
M,43,6495,3,2
M,20,2189,2,4
F,40,6081,4,1
F,18,5894,3,1
M,43,2318,5,3
F,22,5044,4,3
F,40,5918,5,5
M,24,4968,3,5
F,45,3862,4,3
M,33,2554,2,5
M,20,2408,3,2
M,31,2343,4,2
F,18,4494,5,3
M,50,6662,4,1
F,50,2590,2,5
F,29,6303,1,5
M,24,2270,1,1
F,33,6529,1,4
F,43,2729,4,1
F,22,5398,4,4
F,44,5044,5,5
F,36,5029,3,4
F,44,3245,4,2
M,24,2057,1,5
M,44,5343,1,3
F,18,3652,2,3
M,34,2883,5,4
F,48,5581,4,4
M,22,5550,3,1
F,31,5929,2,5
F,19,5571,3,5
M,24,4193,1,4
M,33,4265,1,1
M,18,4779,5,1
F,30,3135,2,1
M,45,5677,3,1
M,18,4799,2,5
F,36,5610,3,1
F,35,4020,3,4
F,44,3080,1,4
M,28,4081,3,4
F,49,2479,4,2
M,46,4567,5,5
F,41,4471,5,1
M,27,5103,4,4
F,21,3811,2,5
F,19,6359,5,3
F,19,5718,1,4
M,45,6455,5,4
M,33,6045,2,2
M,48,6862,4,5
F,29,5251,2,1
M,24,5929,2,1
F,26,4769,1,2
M,30,6566,4,3
M,33,6774,2,3
M,41,4378,3,5
F,47,2836,5,2
M,44,3422,3,2
F,41,3910,3,2
M,44,2048,5,4
M,19,2157,4,1
F,41,3083,5,1
M,49,2519,5,5
F,43,2845,4,5
F,45,3443,1,2
F,50,4201,2,5
F,30,2997,5,2
M,28,5075,2,3
F,33,6578,1,4
F,34,3006,5,5
M,30,2501,2,2
F,33,6292,1,1
F,21,2054,5,4
M,37,2164,1,5
F,33,3609,1,2
F,50,6636,3,4
F,49,3372,4,3
F,30,4790,4,1
M,31,2912,3,4
F,48,6242,3,2
M,48,5401,4,4
M,47,6294,4,3
F,37,2193,4,3
F,20,5467,1,5
M,42,3818,3,2
F,32,2860,1,3
M,19,4807,2,1
F,44,2302,2,1
M,39,5989,3,2
F,29,3714,3,1
M,18,6339,4,5
F,30,2294,3,5
F,22,6696,4,3
F,29,6283,3,4
M,22,4807,1,3
M,31,3706,5,3
M,42,4778,2,4
F,18,3854,3,1
F,31,3486,1,4
M,39,6888,3,1
F,46,2816,1,2
M,45,6602,3,1
F,20,4661,5,5
M,22,4924,4,4
F,22,6769,4,5
F,23,4992,1,4
F,27,3664,5,3
F,35,2678,5,2
M,18,4087,5,5
M,34,6385,2,5
F,24,3499,2,4
M,21,6900,5,3
M,33,3316,2,2
M,30,4376,2,5
F,22,6654,2,1
M,48,2973,1,5
M,45,4887,5,5
F,25,4203,2,5
F,21,3181,5,4
M,50,6173,4,5
F,38,6817,5,3
F,43,5675,3,2
F,43,4432,5,3
M,45,6332,3,3
F,21,3496,2,1
M,50,3007,4,2
F,21,6333,2,4
M,18,5390,4,5
M,31,6603,3,2
M,33,5213,4,2
F,33,4193,4,5
M,40,2848,2,4
F,21,3568,3,3
F,20,5562,5,1
M,24,3407,1,4
F,30,5311,3,3
M,46,2488,5,5
M,42,4026,3,4
F,19,3096,5,3
F,38,2519,4,4
M,38,2516,3,3
F,29,2383,1,3
M,39,5700,4,1
M,24,5253,5,2
F,39,4813,2,5
F,28,4007,4,3
F,21,4970,3,3
F,35,2910,3,2
M,46,4238,1,1
M,46,6130,4,5
M,43,4318,1,2
F,50,4338,2,2
F,21,2433,5,2
M,31,4387,4,5
M,27,5419,3,4
F,46,4564,2,3
M,42,3923,3,4
M,42,5712,3,5
M,23,4802,1,5
F,45,2993,5,3
M,41,6591,5,2
M,22,5187,4,4
F,49,6983,3,2
F,22,3868,3,1
M,28,3266,4,1
F,50,4339,3,5
F,48,5622,1,1
M,36,5320,5,3
M,31,3168,2,4
F,41,4461,2,5
M,20,4606,2,4
F,19,2364,5,1
M,22,4873,3,3
F,21,3196,1,4
M,28,3667,2,1
M,19,6490,4,4
F,30,4010,5,5
F,41,4744,1,2
